State,ElectricVehicles,TotalVehicles,ElectricVehiclesRatio,Income,NumberofChargingStations,ChargingStationDensity,ElectricityCost,GasCost,Incentives,VehicleMilesTravelledPerCapita,UrbanRoadRatio
Alabama,13047,5446619,0.002395,0.62212,1535,0.029283,14.63,3.221,8,0.013272,0.299382
Alaska,2697,680974,0.003961,0.86631,149,0.000224,23.9,3.776,4,0.008248,0.178582
Arizona,89798,6447062,0.013929,0.77315,4387,0.038486,14.02,3.508,16,0.011679,0.420358
Arkansas,7108,3338322,0.002129,0.587,1015,0.019086,12.25,3.145,10,0.011713,0.173579
California,1256646,31057329,0.040462,0.95521,58400,0.356761,29.51,4.617,98,0.010194,0.572428
Colorado,90083,5211580,0.017285,0.92911,6512,0.062559,14.3,3.927,43,0.010487,0.23747
Connecticut,31557,2837111,0.011123,0.91665,4335,0.782067,29.88,3.342,30,0.010751,0.743226
Delaware,8435,445240,0.018945,0.81361,751,0.301728,15.73,3.352,16,0.021826,0.571257
Florida,254878,19519552,0.013058,0.73311,12554,0.190912,15.21,3.487,11,0.012254,0.706548
Georgia,92368,9195822,0.010045,0.74632,6299,0.105999,13.69,3.33,13,0.013739,0.400585
Hawaii,25565,1262693,0.020246,0.95322,979,0.089554,42.39,4.907,19,0.008264,0.632906
Idaho,8501,2057655,0.004131,0.74942,622,0.007443,11.05,3.598,4,0.009583,0.147742
Illinois,99573,10139685,0.00982,0.80306,4618,0.079739,15.71,3.62,26,0.010145,0.340227
Indiana,26101,5775462,0.004519,0.69477,1991,0.054668,14.94,3.253,14,0.014754,0.297486
Iowa,9031,3827780,0.002359,0.71433,1177,0.020916,13.31,3.305,14,0.008688,0.113121
Kansas,11271,2472852,0.004558,0.70333,1276,0.015508,13.38,3.182,4,0.012871,0.098198
Kentucky,11617,4551497,0.002552,0.61118,1034,0.025589,12.65,3.143,10,0.010764,0.185978
Louisiana,8150,4522457,0.001802,0.58229,835,0.015942,11.55,3.193,7,0.012285,0.348549
Maine,7377,1366649,0.005398,0.73733,1377,0.03892,27.42,3.501,18,0.010894,0.142113
Maryland,72139,4935108,0.014618,0.98678,5182,0.417701,16.6,3.444,27,0.011622,0.593271
Massachusetts,73768,5239321,0.01408,0.99858,9689,0.918041,29.61,3.426,38,0.011595,0.832168
Michigan,50284,9907454,0.005075,0.69183,4942,0.051099,18.84,3.377,13,0.009921,0.31199
Minnesota,37050,5848091,0.006335,0.85086,2792,0.032116,14.73,3.371,15,0.009926,0.174877
Mississippi,3590,2228844,0.001611,0.54203,545,0.011253,13.23,3.124,7,0.01837,0.17057
Missouri,26861,5504704,0.00488,0.68545,3133,0.044945,12.58,3.136,8,0.014683,0.192213
Montana,4608,2357075,0.001955,0.70804,450,0.00306,12.54,3.245,8,0.005812,0.061405
Nebraska,6920,1974401,0.003505,0.7459,683,0.00883,11.2,3.339,8,0.010775,0.085539
Nevada,47361,2681539,0.017662,0.76364,2483,0.022456,16.67,4.031,15,0.010359,0.224875
New Hampshire,9861,1405435,0.007016,0.96838,756,0.080864,28.15,3.377,13,0.009616,0.314352
New Jersey,134753,5991811,0.02249,0.99781,5075,0.581795,17.7,3.399,36,0.013019,0.861813
New Mexico,10276,1909072,0.005383,0.62268,987,0.008117,13.85,3.311,15,0.014755,0.157087
New York,131250,9361933,0.01402,0.82095,17894,0.327999,22.24,3.559,29,0.012825,0.438227
North Carolina,70164,8752729,0.008016,0.70804,5428,0.100857,12.93,3.289,23,0.013968,0.352313
North Dakota,959,1060838,0.000904,0.76525,248,0.003508,11.01,3.364,7,0.009328,0.033195
Ohio,50393,11242160,0.004483,0.67769,4896,0.109222,15.38,3.35,10,0.010071,0.38945
Oklahoma,22843,3410923,0.006697,0.62138,1633,0.023362,12.08,3.136,18,0.013416,0.166573
Oregon,64361,4230276,0.015214,0.8016,3904,0.039683,12.73,3.762,28,0.008703,0.191519
Pennsylvania,70154,10866252,0.006456,0.73824,5321,0.115538,18.1,3.762,13,0.009214,0.397487
Rhode Island,6396,822447,0.007777,0.84972,844,0.546278,27.02,3.402,19,0.009197,0.758973
South Carolina,20873,5283221,0.003951,0.67804,1862,0.058151,13.68,3.176,14,0.011507,0.365338
South Dakota,1675,1384940,0.001209,0.7181,300,0.00389,12.32,3.384,5,0.00747,0.040593
Tennessee,33221,6950844,0.004779,0.67631,2843,0.067459,12.19,3.197,6,0.011999,0.332233
Texas,230125,23477492,0.009802,0.7578,11472,0.042711,14.46,3.086,19,0.012793,0.357219
Utah,39998,3084536,0.012967,0.93421,2662,0.031356,11.2,3.665,16,0.011212,0.264984
Vermont,7816,629430,0.012418,0.81211,2365,0.245944,20.82,3.522,27,0.011394,0.105496
Virginia,84936,7922073,0.010721,0.89931,5250,0.122735,14.26,3.349,27,0.011074,0.370761
Washington,152101,7444189,0.020432,0.94605,7327,0.102766,10.98,4.137,44,0.008034,0.315825
West Virginia,2758,1515512,0.00182,0.55948,529,0.021832,14.05,3.394,7,0.010532,0.172104
Wisconsin,24943,5800567,0.0043,0.74631,1920,0.029315,16.88,3.221,17,0.011593,0.209067
Wyoming,1139,890622,0.001279,0.72415,297,0.003036,11.46,3.439,5,0.010688,0.093309